cores,mode,value,trial
1,baseline,2020463,1
2,baseline,3828835,1
4,baseline,7997328,1
8,baseline,17920785,1
16,baseline,27713113,1
32,baseline,51854780,1
1,kernel_rr,1777458,1
2,kernel_rr,2700994,1
4,kernel_rr,4119006,1
8,kernel_rr,5931519,1
16,kernel_rr,7018695,1
32,kernel_rr,7781251,1
1,whole_system_rr,1734469,1
2,whole_system_rr,787633,1
4,whole_system_rr,681659,1
8,whole_system_rr,532763,1
16,whole_system_rr,285201,1
32,whole_system_rr,70826,1
