mode,benchmark,threads,throughput,p99_latency,trial
native,GET,1,86440.88,0.623,1
native,GET,2,168010.75,0.279,1
native,GET,4,281642.53,0.207,1
native,GET,8,465029.78,0.151,1
native,GET,16,526205.00,0.119,1
native,GET,32,512610.22,0.159,1
native,GET,64,512400.06,0.183,1
krr,GET,1,75774.80,0.679,1
krr,GET,2,142816.34,0.407,1
krr,GET,4,270226.44,0.239,1
krr,GET,8,465073.00,0.151,1
krr,GET,16,526149.62,0.135,1
krr,GET,32,512610.22,0.167,1
krr,GET,64,512137.69,0.175,1
