cores,mode,value,trial
1,baseline,585559,1
2,baseline,610723,1
4,baseline,777868,1
8,baseline,943687,1
16,baseline,891798,1
32,baseline,920754,1
1,kernel_rr,546933,1
2,kernel_rr,544605,1
4,kernel_rr,608879,1
8,kernel_rr,491026,1
16,kernel_rr,479705,1
32,kernel_rr,402988,1
1,whole_system_rr,538711,1
2,whole_system_rr,221518,1
4,whole_system_rr,156807,1
8,whole_system_rr,104899,1
16,whole_system_rr,35445,1
32,whole_system_rr,26569,1
