cores,mode,value,trial
1,baseline,2.073,1
2,baseline,3.5,1
4,baseline,5.244,1
8,baseline,8.312,1
16,baseline,17.652,1
32,baseline,34.476,1
1,kernel_rr,2.303,1
2,kernel_rr,3.869,1
4,kernel_rr,6.658,1
8,kernel_rr,16.246,1
16,kernel_rr,33.166,1
32,kernel_rr,78.902,1
1,whole_system_rr,2.367,1
2,whole_system_rr,9.7,1
4,whole_system_rr,26.091,1
8,whole_system_rr,76.631,1
16,whole_system_rr,451.618,1
32,whole_system_rr,1204.128,1
