cores,mode,value,trial
1,baseline,10.958,1
2,baseline,9.156,1
4,baseline,8.372,1
8,baseline,7.664,1
16,baseline,8.92,1
32,baseline,10.482,1
1,kernel_rr,10.359,1
2,kernel_rr,9.539,1
4,kernel_rr,9.076,1
8,kernel_rr,12.176,1
16,kernel_rr,30.159,1
32,kernel_rr,92.695,1
1,whole_system_rr,10.567,1
2,whole_system_rr,27.025,1
4,whole_system_rr,50.509,1
8,whole_system_rr,96.0,1
16,whole_system_rr,225.867,1
32,whole_system_rr,574.037,1
