cores,mode,value,trial
1,baseline,1616.789,1
2,baseline,845.913,1
4,baseline,446.491,1
8,baseline,248.667,1
16,baseline,150.382,1
32,baseline,98.678,1
1,kernel_rr,1875.859,1
2,kernel_rr,1041.084,1
4,kernel_rr,573.586,1
8,kernel_rr,392.735,1
16,kernel_rr,552.983,1
32,kernel_rr,915.837,1
1,whole_system_rr,1807.693,1
2,whole_system_rr,2771.263,1
4,whole_system_rr,2790.494,1
8,whole_system_rr,2960.284,1
16,whole_system_rr,3193.354,1
32,whole_system_rr,3913.301,1
